"Hospital","State","Local Hospital Network (LHN)","Peer group","Interval","Time period","Patient cohort","Number of surgeries","","Median waiting time (days)",".1","Peer group median (days)",".2","Percentage who waited more than 365 days for surgery",".3","Peer group average",".4"
"Dandenong Campus","Vic","Monash Health","Large metropolitan hospitals","FY","2016–17","S10 Vascular surgery","395","","57","","Not peered","","0.037999999999999999","","Not peered",""
"Dandenong Campus","Vic","Monash Health","Large metropolitan hospitals","FY","2017–18","S10 Vascular surgery","300","","115","","Not peered","","0.097000000000000003","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2011–12","S01 Cardio-thoracic surgery","16","","9","","18","","NP","","0.002",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2012–13","S01 Cardio-thoracic surgery","19","","14","","16","","NP","","0",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2013–14","S01 Cardio-thoracic surgery","24","","13","","18","","NP","","0",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2014–15","S01 Cardio-thoracic surgery","38","","21","","14","","NP","","0",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2015–16","S01 Cardio-thoracic surgery","16","","10","","15","","NP","","0.0030000000000000001",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2016–17","S01 Cardio-thoracic surgery","18","","14","","Not peered","","NP","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2017–18","S01 Cardio-thoracic surgery","31","","8","","Not peered","","NP","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2011–12","S02 Ear, nose and throat surgery","430","","111","","69","","0.11600000000000001","","0.072999999999999995",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2012–13","S02 Ear, nose and throat surgery","486","","131","","74","","0.097000000000000003","","0.082000000000000003",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2013–14","S02 Ear, nose and throat surgery","517","","105","","79","","0.11799999999999999","","0.049000000000000002",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2014–15","S02 Ear, nose and throat surgery","537","","98","","78","","0.10199999999999999","","0.047",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2015–16","S02 Ear, nose and throat surgery","544","","155","","74","","0.20599999999999999","","0.056000000000000001",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2016–17","S02 Ear, nose and throat surgery","547","","189","","Not peered","","0.33300000000000002","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2017–18","S02 Ear, nose and throat surgery","500","","125","","Not peered","","0.224","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2011–12","S03 General surgery","1472","","38","","35","","0.002","","0.017000000000000001",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2012–13","S03 General surgery","1468","","45","","35","","0.0089999999999999993","","0.016",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2013–14","S03 General surgery","1679","","41","","35","","0.012","","0.01",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2014–15","S03 General surgery","1528","","28","","33","","0.001","","0.0060000000000000001",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2015–16","S03 General surgery","1702","","25","","33","","0.001","","0.0070000000000000001",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2016–17","S03 General surgery","1806","","26","","Not peered","","0","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2017–18","S03 General surgery","1823","","27","","Not peered","","0","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2011–12","S04 Gynaecology","847","","41","","35","","0.0080000000000000002","","0.012",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2012–13","S04 Gynaecology","915","","47","","36","","0.02","","0.015",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2013–14","S04 Gynaecology","1018","","28","","39","","0.0080000000000000002","","0.017000000000000001",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2014–15","S04 Gynaecology","1129","","25","","38","","0.014","","0.0080000000000000002",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2015–16","S04 Gynaecology","1054","","25","","39","","0.083000000000000004","","0.012",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2016–17","S04 Gynaecology","1151","","34","","Not peered","","0.017999999999999999","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2017–18","S04 Gynaecology","1173","","28","","Not peered","","0.0089999999999999993","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2011–12","S07 Orthopaedic surgery","947","","96","","68","","0.063","","0.057000000000000002",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2012–13","S07 Orthopaedic surgery","800","","89","","72","","0.035","","0.053999999999999999",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2013–14","S07 Orthopaedic surgery","834","","104","","70","","0.0070000000000000001","","0.050999999999999997",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2014–15","S07 Orthopaedic surgery","921","","117","","62","","0.016","","0.028000000000000001",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2015–16","S07 Orthopaedic surgery","987","","118","","65","","0.025","","0.039",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2016–17","S07 Orthopaedic surgery","986","","89","","Not peered","","0.017000000000000001","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2017–18","S07 Orthopaedic surgery","1025","","104","","Not peered","","0.0040000000000000001","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2011–12","S08 Plastic surgery","524","","53","","19","","0.021000000000000001","","0.021000000000000001",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2012–13","S08 Plastic surgery","627","","36","","22","","0.021999999999999999","","0.032000000000000001",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2013–14","S08 Plastic surgery","672","","41","","23","","0.012999999999999999","","0.035999999999999997",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2014–15","S08 Plastic surgery","852","","21","","16","","0.0070000000000000001","","0.015",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2015–16","S08 Plastic surgery","1054","","20","","19","","0.012999999999999999","","0.019",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2016–17","S08 Plastic surgery","1177","","22","","Not peered","","0.031","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2017–18","S08 Plastic surgery","1225","","25","","Not peered","","0.049000000000000002","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2011–12","S09 Urology","1429","","18","","25","","0.0030000000000000001","","0.0080000000000000002",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2012–13","S09 Urology","1363","","16","","25","","0","","0.0070000000000000001",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2013–14","S09 Urology","1300","","20","","25","","0.0030000000000000001","","0.0080000000000000002",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2014–15","S09 Urology","1281","","18","","23","","0","","0.0030000000000000001",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2015–16","S09 Urology","1405","","18","","24","","0.002","","0.005",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2016–17","S09 Urology","1516","","19","","Not peered","","0.0030000000000000001","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2017–18","S09 Urology","1577","","18","","Not peered","","0.001","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2011–12","S10 Vascular surgery","505","","67","","21","","0.067000000000000004","","0.028000000000000001",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2012–13","S10 Vascular surgery","466","","55","","21","","0.062","","0.033000000000000002",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2013–14","S10 Vascular surgery","597","","57","","22","","0.045","","0.037999999999999999",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2014–15","S10 Vascular surgery","572","","33","","22","","0.014","","0.048000000000000001",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2015–16","S10 Vascular surgery","598","","38","","25","","0.06","","0.033000000000000002",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2016–17","S10 Vascular surgery","719","","29","","Not peered","","0.031","","Not peered",""
"Frankston Hospital","Vic","Peninsula Health (Vic)","Large metropolitan hospitals","FY","2017–18","S10 Vascular surgery","632","","23","","Not peered","","0.005","","Not peered",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2011–12","S02 Ear, nose and throat surgery","216","","54","","76","","0.005","","0.036999999999999998",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2012–13","S02 Ear, nose and throat surgery","207","","79","","79","","0.029000000000000001","","0.051999999999999998",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2013–14","S02 Ear, nose and throat surgery","208","","52","","73","","0.014","","0.037999999999999999",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2014–15","S02 Ear, nose and throat surgery","160","","124","","74","","0.025","","0.037999999999999999",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2015–16","S02 Ear, nose and throat surgery","164","","136","","93","","0.012","","0.048000000000000001",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2016–17","S02 Ear, nose and throat surgery","164","","175","","Not peered","","0.090999999999999998","","Not peered",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2017–18","S02 Ear, nose and throat surgery","171","","183","","Not peered","","0","","Not peered",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2011–12","S03 General surgery","1257","","27","","31","","0.01","","0.02",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2012–13","S03 General surgery","1242","","29","","30","","0.035","","0.027",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2013–14","S03 General surgery","1379","","27","","28","","0.0060000000000000001","","0.017999999999999999",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2014–15","S03 General surgery","1168","","21","","28","","0","","0.017999999999999999",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2015–16","S03 General surgery","1326","","19","","29","","0","","0.014",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2016–17","S03 General surgery","1432","","22","","Not peered","","0.001","","Not peered",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2017–18","S03 General surgery","1201","","22","","Not peered","","0.0060000000000000001","","Not peered",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2011–12","S04 Gynaecology","448","","29","","37","","0.012999999999999999","","0.014",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2012–13","S04 Gynaecology","349","","25","","36","","0.0089999999999999993","","0.012",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2013–14","S04 Gynaecology","367","","21","","40","","0","","0.0060000000000000001",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2014–15","S04 Gynaecology","367","","21","","42","","0","","0.012999999999999999",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2015–16","S04 Gynaecology","385","","20","","39","","0","","0.010999999999999999",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2016–17","S04 Gynaecology","393","","22","","Not peered","","0","","Not peered",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2017–18","S04 Gynaecology","403","","16","","Not peered","","0","","Not peered",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2011–12","S06 Ophthalmology","181","","139","","228","","0.094","","0.085999999999999993",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2012–13","S06 Ophthalmology","355","","203","","230","","0.158","","0.085",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2013–14","S06 Ophthalmology","416","","119","","204","","0.05","","0.092999999999999999",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2014–15","S06 Ophthalmology","378","","110","","162","","0.024","","0.062",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2015–16","S06 Ophthalmology","489","","102","","197","","0.0040000000000000001","","0.076999999999999999",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2016–17","S06 Ophthalmology","393","","90","","Not peered","","0","","Not peered",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2017–18","S06 Ophthalmology","412","","140","","Not peered","","0.005","","Not peered",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2011–12","S07 Orthopaedic surgery","600","","63","","78","","0.0030000000000000001","","0.075999999999999998",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2012–13","S07 Orthopaedic surgery","512","","58","","79","","0.016","","0.08",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2013–14","S07 Orthopaedic surgery","514","","75","","79","","0.045","","0.067000000000000004",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2014–15","S07 Orthopaedic surgery","505","","63","","79","","0.0080000000000000002","","0.060999999999999999",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2015–16","S07 Orthopaedic surgery","499","","46","","92","","0.0080000000000000002","","0.066000000000000003",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2016–17","S07 Orthopaedic surgery","537","","35","","Not peered","","0.0070000000000000001","","Not peered",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2017–18","S07 Orthopaedic surgery","494","","40","","Not peered","","0","","Not peered",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2011–12","S09 Urology","558","","24","","31","","0","","0.015",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2012–13","S09 Urology","518","","21","","28","","0","","0.015",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2013–14","S09 Urology","535","","24","","27","","0","","0.014",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2014–15","S09 Urology","499","","25","","27","","0","","0.014",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2015–16","S09 Urology","513","","19","","27","","0","","0.015",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2016–17","S09 Urology","616","","24","","Not peered","","0","","Not peered",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2017–18","S09 Urology","588","","24","","Not peered","","0","","Not peered",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2011–12","S11 Other surgery","75","","11","","15","","0","","0.0080000000000000002",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2012–13","S11 Other surgery","85","","7","","17","","0","","0.019",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2013–14","S11 Other surgery","110","","6","","10","","0","","0.041000000000000002",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2014–15","S11 Other surgery","88","","10","","12","","0","","0.0080000000000000002",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2015–16","S11 Other surgery","77","","6","","11","","0","","0.002",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2016–17","S11 Other surgery","72","","6","","Not peered","","0","","Not peered",""
"Goulburn Valley Health [Shepparton]","Vic","Goulburn Valley Health","Large regional hospitals","FY","2017–18","S11 Other surgery","84","","7","","Not peered","","0","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2013–14","S01 Cardio-thoracic surgery","25","","20","","13","","NP","","0",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2014–15","S01 Cardio-thoracic surgery","79","","22","","Not peered","","0","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2015–16","S01 Cardio-thoracic surgery","68","","29","","27","","0","","0",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2016–17","S01 Cardio-thoracic surgery","82","","24","","Not peered","","0","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2017–18","S01 Cardio-thoracic surgery","46","","12","","Not peered","","NP","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2011–12","S02 Ear, nose and throat surgery","385","","139","","76","","0.0030000000000000001","","0.036999999999999998",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2012–13","S02 Ear, nose and throat surgery","304","","72","","79","","0","","0.051999999999999998",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2013–14","S02 Ear, nose and throat surgery","472","","56","","73","","0.002","","0.037999999999999999",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2014–15","S02 Ear, nose and throat surgery","445","","80","","74","","0","","0.037999999999999999",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2015–16","S02 Ear, nose and throat surgery","412","","133","","93","","0","","0.048000000000000001",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2016–17","S02 Ear, nose and throat surgery","366","","92","","Not peered","","0","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2017–18","S02 Ear, nose and throat surgery","371","","65","","Not peered","","0.005","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2011–12","S03 General surgery","1134","","34","","31","","0","","0.02",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2012–13","S03 General surgery","1056","","37","","30","","0","","0.027",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2013–14","S03 General surgery","1084","","26","","28","","0.001","","0.017999999999999999",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2014–15","S03 General surgery","1347","","28","","28","","0","","0.017999999999999999",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2015–16","S03 General surgery","1519","","26","","29","","0","","0.014",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2016–17","S03 General surgery","1666","","26","","Not peered","","0","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2017–18","S03 General surgery","1991","","19","","Not peered","","0","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2011–12","S04 Gynaecology","569","","43","","37","","0","","0.014",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2012–13","S04 Gynaecology","561","","35","","36","","0","","0.012",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2013–14","S04 Gynaecology","620","","32","","40","","0","","0.0060000000000000001",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2014–15","S04 Gynaecology","532","","26","","42","","0","","0.012999999999999999",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2015–16","S04 Gynaecology","470","","27","","39","","0","","0.010999999999999999",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2016–17","S04 Gynaecology","521","","31","","Not peered","","0.0040000000000000001","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2017–18","S04 Gynaecology","470","","30","","Not peered","","0","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2011–12","S06 Ophthalmology","778","","52","","228","","0","","0.085999999999999993",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2012–13","S06 Ophthalmology","852","","55","","230","","0.002","","0.085",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2013–14","S06 Ophthalmology","867","","29","","204","","0.002","","0.092999999999999999",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2014–15","S06 Ophthalmology","755","","7","","162","","0","","0.062",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2015–16","S06 Ophthalmology","958","","8","","197","","0","","0.076999999999999999",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2016–17","S06 Ophthalmology","689","","21","","Not peered","","0","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2017–18","S06 Ophthalmology","780","","6","","Not peered","","0","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2011–12","S07 Orthopaedic surgery","1156","","80","","78","","0.01","","0.075999999999999998",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2012–13","S07 Orthopaedic surgery","1166","","65","","79","","0.0089999999999999993","","0.08",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2013–14","S07 Orthopaedic surgery","1252","","63","","79","","0.0060000000000000001","","0.067000000000000004",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2014–15","S07 Orthopaedic surgery","1351","","49","","79","","0.01","","0.060999999999999999",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2015–16","S07 Orthopaedic surgery","1299","","50","","92","","0.016","","0.066000000000000003",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2016–17","S07 Orthopaedic surgery","1372","","57","","Not peered","","0.042999999999999997","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2017–18","S07 Orthopaedic surgery","1337","","59","","Not peered","","0.085","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2011–12","S08 Plastic surgery","15","","175","","28","","NP","","0.043999999999999997",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2012–13","S08 Plastic surgery","10","","162","","30","","NP","","0.039",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2013–14","S08 Plastic surgery","6","","NP","","48","","NP","","0.057000000000000002",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2014–15","S08 Plastic surgery","43","","50","","30","","NP","","0.042000000000000003",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2015–16","S08 Plastic surgery","107","","24","","26","","0.0089999999999999993","","0.050999999999999997",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2016–17","S08 Plastic surgery","124","","41","","Not peered","","0.04","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2017–18","S08 Plastic surgery","54","","41","","Not peered","","0.019","","Not peered",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2011–12","S09 Urology","500","","34","","31","","0.002","","0.015",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2012–13","S09 Urology","484","","25","","28","","0","","0.015",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2013–14","S09 Urology","467","","21","","27","","0","","0.014",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2014–15","S09 Urology","473","","24","","27","","0","","0.014",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2015–16","S09 Urology","453","","23","","27","","0","","0.015",""
"Latrobe Regional Hospital [Traralgon]","Vic","Latrobe Regional Hospital","Large regional hospitals","FY","2016–17","S09 Urology","508","","25","","Not peered","","0","","Not peered",""
