"Hospital","State","Services"
"Tullamore Multi Purpose Health Service","NSW","Emergency department"
"Tullamore Multi Purpose Health Service","NSW","Nursing home care unit"
"Tumbarumba Multi Purpose Service","NSW","Domiciliary care unit"
"Tumbarumba Multi Purpose Service","NSW","Emergency department"
"Tumbarumba Multi Purpose Service","NSW","Nursing home care unit"
"Tumut Hospital","NSW","Alcohol and drug unit"
"Tumut Hospital","NSW","Domiciliary care unit"
"Tumut Hospital","NSW","Emergency department"
"Tumut Hospital","NSW","Geriatric assessment unit"
"Tumut Hospital","NSW","Obstetric services"
"Tumut Hospital","NSW","Rehabilitation unit"
"Urana Multi Purpose Service","NSW","Domiciliary care unit"
"Urana Multi Purpose Service","NSW","Emergency department"
"Urana Multi Purpose Service","NSW","Nursing home care unit"
"Urbenville Multi Purpose Service","NSW","Emergency department"
"Urbenville Multi Purpose Service","NSW","Geriatric assessment unit"
"Urbenville Multi Purpose Service","NSW","Nursing home care unit"
"Vegetable Creek Multi Purpose Service Emmaville","NSW","Alcohol and drug unit"
"Vegetable Creek Multi Purpose Service Emmaville","NSW","Domiciliary care unit"
"Vegetable Creek Multi Purpose Service Emmaville","NSW","Emergency department"
"Vegetable Creek Multi Purpose Service Emmaville","NSW","Geriatric assessment unit"
"Vegetable Creek Multi Purpose Service Emmaville","NSW","Nursing home care unit"
"Wagga Wagga Hospital","NSW","Alcohol and drug unit"
"Wagga Wagga Hospital","NSW","Clinical genetics unit"
"Wagga Wagga Hospital","NSW","Coronary care unit"
"Wagga Wagga Hospital","NSW","Domiciliary care unit"
"Wagga Wagga Hospital","NSW","Emergency department"
"Wagga Wagga Hospital","NSW","Geriatric assessment unit"
"Wagga Wagga Hospital","NSW","Intensive care unit"
"Wagga Wagga Hospital","NSW","Maintenance renal dialysis unit"
"Wagga Wagga Hospital","NSW","Neonatal intensive care unit"
"Wagga Wagga Hospital","NSW","Obstetric services"
"Wagga Wagga Hospital","NSW","Paediatric service"
"Wagga Wagga Hospital","NSW","Psychiatric unit"
"Wagga Wagga Hospital","NSW","Rehabilitation unit"
"Walcha Multi Purpose Service","NSW","Emergency department"
"Walcha Multi Purpose Service","NSW","Nursing home care unit"
"Walgett Multipurpose Service","NSW","Emergency department"
"Walgett Multipurpose Service","NSW","Maintenance renal dialysis unit"
"Walgett Multipurpose Service","NSW","Nursing home care unit"
"War Memorial Hospital","NSW","Domiciliary care unit"
"War Memorial Hospital","NSW","Geriatric assessment unit"
"War Memorial Hospital","NSW","Rehabilitation unit"
"Warialda Multi Purpose Service","NSW","Emergency department"
"Warialda Multi Purpose Service","NSW","Nursing home care unit"
"Warren Multi Purpose Service","NSW","Emergency department"
"Warren Multi Purpose Service","NSW","Maintenance renal dialysis unit"
"Warren Multi Purpose Service","NSW","Nursing home care unit"
"Wauchope Hospital","NSW","Domiciliary care unit"
"Wauchope Hospital","NSW","Hospice care unit"
"Wauchope Hospital","NSW","Rehabilitation unit"
"Wee Waa Hospital","NSW","Domiciliary care unit"
"Wee Waa Hospital","NSW","Emergency department"
"Wellington Health Service","NSW","Emergency department"
"Wellington Health Service","NSW","Maintenance renal dialysis unit"
"Wentworth Hospital","NSW","Domiciliary care unit"
"Werris Creek Hospital","NSW","Domiciliary care unit"
"Werris Creek Hospital","NSW","Emergency department"
"Werris Creek Hospital","NSW","Nursing home care unit"
"Westmead Hospital","NSW","Acute renal dialysis unit"
"Westmead Hospital","NSW","AIDS unit"
"Westmead Hospital","NSW","Alcohol and drug unit"
"Westmead Hospital","NSW","Bone marrow transplantation unit"
"Westmead Hospital","NSW","Cardiac surgery unit"
"Westmead Hospital","NSW","Clinical genetics unit"
"Westmead Hospital","NSW","Coronary care unit"
"Westmead Hospital","NSW","Diabetes unit"
"Westmead Hospital","NSW","Emergency department"
"Westmead Hospital","NSW","Epilepsy centre"
"Westmead Hospital","NSW","Geriatric assessment unit"
"Westmead Hospital","NSW","In vitro fertilisation unit"
"Westmead Hospital","NSW","Infectious diseases unit"
"Westmead Hospital","NSW","Intensive care unit"
"Westmead Hospital","NSW","Maintenance renal dialysis unit"
"Westmead Hospital","NSW","Major plastic or reconstructive surgery unit"
"Westmead Hospital","NSW","Neonatal intensive care unit"
"Westmead Hospital","NSW","Neurosurgical unit"
"Westmead Hospital","NSW","Obstetric services"
"Westmead Hospital","NSW","Oncology unit"
"Westmead Hospital","NSW","Pancreas transplantation unit"
"Westmead Hospital","NSW","Psychiatric unit"
"Westmead Hospital","NSW","Rehabilitation unit"
"Westmead Hospital","NSW","Renal transplantation unit"
"Westmead Hospital","NSW","Sleep centre"
"Wilcannia Multi Purpose Service","NSW","Emergency department"
"Wilcannia Multi Purpose Service","NSW","Hospice care unit"
"Wilcannia Multi Purpose Service","NSW","Nursing home care unit"
"Wilson Memorial Community Hospital, Murrurundi","NSW","Emergency department"
"Wilson Memorial Community Hospital, Murrurundi","NSW","Hospice care unit"
"Wingham Hospital","NSW","Geriatric assessment unit"
"Wingham Hospital","NSW","Psychiatric unit"
"Wingham Hospital","NSW","Rehabilitation unit"
"Wollongong Hospital","NSW","Acute renal dialysis unit"
"Wollongong Hospital","NSW","Alcohol and drug unit"
"Wollongong Hospital","NSW","Bone marrow transplantation unit"
"Wollongong Hospital","NSW","Cardiac surgery unit"
"Wollongong Hospital","NSW","Clinical genetics unit"
"Wollongong Hospital","NSW","Coronary care unit"
"Wollongong Hospital","NSW","Diabetes unit"
"Wollongong Hospital","NSW","Domiciliary care unit"
"Wollongong Hospital","NSW","Emergency department"
"Wollongong Hospital","NSW","Geriatric assessment unit"
"Wollongong Hospital","NSW","Infectious diseases unit"
"Wollongong Hospital","NSW","Intensive care unit"
"Wollongong Hospital","NSW","Maintenance renal dialysis unit"
"Wollongong Hospital","NSW","Major plastic or reconstructive surgery unit"
"Wollongong Hospital","NSW","Neonatal intensive care unit"
"Wollongong Hospital","NSW","Neurosurgical unit"
"Wollongong Hospital","NSW","Obstetric services"
"Wollongong Hospital","NSW","Oncology unit"
"Wollongong Hospital","NSW","Paediatric service"
"Wollongong Hospital","NSW","Psychiatric unit"
"Wollongong Hospital","NSW","Rehabilitation unit"
"Woy Woy Hospital","NSW","Diabetes unit"
"Woy Woy Hospital","NSW","Geriatric assessment unit"
"Woy Woy Hospital","NSW","Rehabilitation unit"
"Wyalong Hospital","NSW","Domiciliary care unit"
"Wyalong Hospital","NSW","Emergency department"
"Wyalong Hospital","NSW","Geriatric assessment unit"
"Wyong Hospital","NSW","Alcohol and drug unit"
"Wyong Hospital","NSW","Coronary care unit"
"Wyong Hospital","NSW","Diabetes unit"
"Wyong Hospital","NSW","Emergency department"
"Wyong Hospital","NSW","Epilepsy centre"
"Wyong Hospital","NSW","Geriatric assessment unit"
"Wyong Hospital","NSW","Maintenance renal dialysis unit"
"Wyong Hospital","NSW","Obstetric services"
"Wyong Hospital","NSW","Oncology unit"
"Wyong Hospital","NSW","Paediatric service"
"Wyong Hospital","NSW","Psychiatric unit"
"Wyong Hospital","NSW","Rehabilitation unit"
"Yass Hospital","NSW","Alcohol and drug unit"
"Yass Hospital","NSW","Domiciliary care unit"
"Yass Hospital","NSW","Emergency department"
"Young Hospital","NSW","Alcohol and drug unit"
"Young Hospital","NSW","Domiciliary care unit"
"Young Hospital","NSW","Emergency department"
"Young Hospital","NSW","Obstetric services"
"Albury Wodonga Health [Wodonga Campus]","Vic","Domiciliary care unit"
"Albury Wodonga Health [Wodonga Campus]","Vic","Emergency department"
"Albury Wodonga Health [Wodonga Campus]","Vic","Geriatric assessment unit"
"Albury Wodonga Health [Wodonga Campus]","Vic","Maintenance renal dialysis unit"
"Albury Wodonga Health [Wodonga Campus]","Vic","Obstetric services"
"Albury Wodonga Health [Wodonga Campus]","Vic","Rehabilitation unit"
"Alpine Health [Bright]","Vic","Domiciliary care unit"
"Alpine Health [Bright]","Vic","Obstetric services"
"Alpine Health [Mount Beauty]","Vic","Domiciliary care unit"
"Alpine Health [Mount Beauty]","Vic","Obstetric services"
"Alpine Health [Myrtleford]","Vic","Domiciliary care unit"
"Alpine Health [Myrtleford]","Vic","Maintenance renal dialysis unit"
"Alpine Health [Myrtleford]","Vic","Obstetric services"
"Angliss Hospital","Vic","Domiciliary care unit"
"Angliss Hospital","Vic","Emergency department"
"Angliss Hospital","Vic","Geriatric assessment unit"
"Angliss Hospital","Vic","Maintenance renal dialysis unit"
"Angliss Hospital","Vic","Obstetric services"
"Angliss Hospital","Vic","Paediatric service"
"Angliss Hospital","Vic","Rehabilitation unit"
"Austin Hospital [Heidelberg]","Vic","Acute renal dialysis unit"
"Austin Hospital [Heidelberg]","Vic","Acute spinal cord injury unit"
"Austin Hospital [Heidelberg]","Vic","Bone marrow transplantation unit"
"Austin Hospital [Heidelberg]","Vic","Cardiac surgery unit"
"Austin Hospital [Heidelberg]","Vic","Clinical genetics unit"
"Austin Hospital [Heidelberg]","Vic","Coronary care unit"
"Austin Hospital [Heidelberg]","Vic","Diabetes unit"
"Austin Hospital [Heidelberg]","Vic","Emergency department"
"Austin Hospital [Heidelberg]","Vic","Epilepsy centre"
"Austin Hospital [Heidelberg]","Vic","Hospice care unit"
"Austin Hospital [Heidelberg]","Vic","Infectious diseases unit"
"Austin Hospital [Heidelberg]","Vic","Intensive care unit"
"Austin Hospital [Heidelberg]","Vic","Liver transplantation unit"
"Austin Hospital [Heidelberg]","Vic","Maintenance renal dialysis unit"
"Austin Hospital [Heidelberg]","Vic","Major plastic or reconstructive surgery unit"
"Austin Hospital [Heidelberg]","Vic","Neurosurgical unit"
"Austin Hospital [Heidelberg]","Vic","Oncology unit"
"Austin Hospital [Heidelberg]","Vic","Paediatric service"
"Austin Hospital [Heidelberg]","Vic","Psychiatric unit"
"Austin Hospital [Heidelberg]","Vic","Renal transplantation unit"
"Austin Hospital [Heidelberg]","Vic","Sleep centre"
"Bairnsdale Regional Health Service","Vic","Alcohol and drug unit"
"Bairnsdale Regional Health Service","Vic","Domiciliary care unit"
"Bairnsdale Regional Health Service","Vic","Emergency department"
"Bairnsdale Regional Health Service","Vic","Geriatric assessment unit"
"Bairnsdale Regional Health Service","Vic","Maintenance renal dialysis unit"
"Bairnsdale Regional Health Service","Vic","Nursing home care unit"
"Bairnsdale Regional Health Service","Vic","Obstetric services"
"Bairnsdale Regional Health Service","Vic","Oncology unit"
"Bairnsdale Regional Health Service","Vic","Rehabilitation unit"
"Ballarat Health Services [Base Campus]","Vic","Coronary care unit"
"Ballarat Health Services [Base Campus]","Vic","Diabetes unit"
"Ballarat Health Services [Base Campus]","Vic","Emergency department"
"Ballarat Health Services [Base Campus]","Vic","Intensive care unit"
"Ballarat Health Services [Base Campus]","Vic","Maintenance renal dialysis unit"
"Ballarat Health Services [Base Campus]","Vic","Obstetric services"
"Ballarat Health Services [Base Campus]","Vic","Oncology unit"
"Ballarat Health Services [Base Campus]","Vic","Paediatric service"
"Ballarat Health Services [Base Campus]","Vic","Psychiatric unit"
"Ballarat Health Services [Queen Elizabeth Campus]","Vic","Domiciliary care unit"
"Ballarat Health Services [Queen Elizabeth Campus]","Vic","Geriatric assessment unit"
"Ballarat Health Services [Queen Elizabeth Campus]","Vic","Hospice care unit"
"Ballarat Health Services [Queen Elizabeth Campus]","Vic","Nursing home care unit"
"Ballarat Health Services [Queen Elizabeth Campus]","Vic","Psychiatric unit"
"Ballarat Health Services [Queen Elizabeth Campus]","Vic","Rehabilitation unit"
"Bass Coast Health","Vic","Domiciliary care unit"
"Bass Coast Health","Vic","Emergency department"
"Bass Coast Health","Vic","Geriatric assessment unit"
"Bass Coast Health","Vic","Hospice care unit"
"Bass Coast Health","Vic","Maintenance renal dialysis unit"
"Bass Coast Health","Vic","Nursing home care unit"
"Bass Coast Health","Vic","Obstetric services"
"Bass Coast Health","Vic","Rehabilitation unit"
"Beaufort & Skipton Health Service [Beaufort]","Vic","Domiciliary care unit"
"Beaufort & Skipton Health Service [Beaufort]","Vic","Nursing home care unit"
"Beaufort & Skipton Health Service [Skipton]","Vic","Domiciliary care unit"
"Beaufort & Skipton Health Service [Skipton]","Vic","Nursing home care unit"
"Beechworth Health Service","Vic","Nursing home care unit"
"Benalla & District Memorial Hospital","Vic","Domiciliary care unit"
"Benalla & District Memorial Hospital","Vic","Nursing home care unit"
"Benalla & District Memorial Hospital","Vic","Obstetric services"
"Boort District Health","Vic","Domiciliary care unit"
"Boort District Health","Vic","Nursing home care unit"
"Box Hill Hospital","Vic","Acute renal dialysis unit"
"Box Hill Hospital","Vic","Alcohol and drug unit"
"Box Hill Hospital","Vic","Coronary care unit"
"Box Hill Hospital","Vic","Diabetes unit"
"Box Hill Hospital","Vic","Domiciliary care unit"
"Box Hill Hospital","Vic","Emergency department"
"Box Hill Hospital","Vic","Geriatric assessment unit"
"Box Hill Hospital","Vic","Infectious diseases unit"
"Box Hill Hospital","Vic","Intensive care unit"
"Box Hill Hospital","Vic","Maintenance renal dialysis unit"
"Box Hill Hospital","Vic","Major plastic or reconstructive surgery unit"
"Box Hill Hospital","Vic","Obstetric services"
"Box Hill Hospital","Vic","Oncology unit"
"Box Hill Hospital","Vic","Paediatric service"
"Box Hill Hospital","Vic","Psychiatric unit"
"Box Hill Hospital","Vic","Sleep centre"
"Broadmeadows Health Service","Vic","Diabetes unit"
"Broadmeadows Health Service","Vic","Geriatric assessment unit"
"Broadmeadows Health Service","Vic","Hospice care unit"
"Broadmeadows Health Service","Vic","Maintenance renal dialysis unit"
"Broadmeadows Health Service","Vic","Obstetric services"
"Broadmeadows Health Service","Vic","Psychiatric unit"
"Broadmeadows Health Service","Vic","Rehabilitation unit"
"Bundoora Extended Care Centre","Vic","Domiciliary care unit"
"Bundoora Extended Care Centre","Vic","Geriatric assessment unit"
"Bundoora Extended Care Centre","Vic","Nursing home care unit"
"Bundoora Extended Care Centre","Vic","Psychiatric unit"
"Calvary Health Care Bethlehem","Vic","Hospice care unit"
"Calvary Health Care Bethlehem","Vic","Rehabilitation unit"
"Caritas Christi Hospice [Kew]","Vic","Hospice care unit"
"Casey Hospital","Vic","Domiciliary care unit"
"Casey Hospital","Vic","Emergency department"
"Casey Hospital","Vic","Geriatric assessment unit"
"Casey Hospital","Vic","Hospice care unit"
"Casey Hospital","Vic","Maintenance renal dialysis unit"
"Casey Hospital","Vic","Obstetric services"
"Casey Hospital","Vic","Paediatric service"
"Casey Hospital","Vic","Psychiatric unit"
"Casey Hospital","Vic","Rehabilitation unit"
"Casterton Memorial Hospital","Vic","Domiciliary care unit"
"Casterton Memorial Hospital","Vic","Maintenance renal dialysis unit"
"Casterton Memorial Hospital","Vic","Nursing home care unit"
"Castlemaine Health","Vic","Domiciliary care unit"
"Castlemaine Health","Vic","Geriatric assessment unit"
"Castlemaine Health","Vic","Nursing home care unit"
"Castlemaine Health","Vic","Obstetric services"
"Castlemaine Health","Vic","Rehabilitation unit"
"Caulfield Hospital","Vic","Domiciliary care unit"
"Caulfield Hospital","Vic","Geriatric assessment unit"
"Caulfield Hospital","Vic","Psychiatric unit"
"Caulfield Hospital","Vic","Rehabilitation unit"
"Central Gippsland Health Service [Maffra]","Vic","Geriatric assessment unit"
"Central Gippsland Health Service [Sale]","Vic","Coronary care unit"
"Central Gippsland Health Service [Sale]","Vic","Domiciliary care unit"
"Central Gippsland Health Service [Sale]","Vic","Emergency department"
"Central Gippsland Health Service [Sale]","Vic","Geriatric assessment unit"
"Central Gippsland Health Service [Sale]","Vic","Maintenance renal dialysis unit"
"Central Gippsland Health Service [Sale]","Vic","Obstetric services"
"Central Gippsland Health Service [Sale]","Vic","Oncology unit"
"Central Gippsland Health Service [Sale]","Vic","Paediatric service"
"Central Gippsland Health Service [Sale]","Vic","Rehabilitation unit"
"Cobram District Hospital","Vic","Domiciliary care unit"
"Cobram District Hospital","Vic","Nursing home care unit"
"Cobram District Hospital","Vic","Rehabilitation unit"
"Cohuna District Hospital","Vic","Domiciliary care unit"
"Cohuna District Hospital","Vic","Maintenance renal dialysis unit"
"Cohuna District Hospital","Vic","Nursing home care unit"
"Cohuna District Hospital","Vic","Obstetric services"
"Colac Area Health","Vic","Alcohol and drug unit"
"Colac Area Health","Vic","Domiciliary care unit"
"Colac Area Health","Vic","Hospice care unit"
"Colac Area Health","Vic","Maintenance renal dialysis unit"
"Colac Area Health","Vic","Nursing home care unit"
"Colac Area Health","Vic","Obstetric services"
"Colac Area Health","Vic","Oncology unit"
"Colac Area Health","Vic","Rehabilitation unit"
"Craigieburn Health Service","Vic","Diabetes unit"
"Craigieburn Health Service","Vic","Maintenance renal dialysis unit"
"Craigieburn Health Service","Vic","Obstetric services"
"Craigieburn Health Service","Vic","Oncology unit"
"Craigieburn Health Service","Vic","Paediatric service"
"Craigieburn Health Service","Vic","Rehabilitation unit"
"Cranbourne Integrated Care Centre","Vic","Maintenance renal dialysis unit"
"Creswick District Hospital","Vic","Nursing home care unit"
"Dame Phyllis Frost Centre - Marmak unit","Vic","Psychiatric unit"
"Dandenong Campus","Vic","Acute renal dialysis unit"
"Dandenong Campus","Vic","Alcohol and drug unit"
"Dandenong Campus","Vic","Coronary care unit"
"Dandenong Campus","Vic","Diabetes unit"
"Dandenong Campus","Vic","Domiciliary care unit"
"Dandenong Campus","Vic","Emergency department"
"Dandenong Campus","Vic","Geriatric assessment unit"
"Dandenong Campus","Vic","Infectious diseases unit"
"Dandenong Campus","Vic","Intensive care unit"
"Dandenong Campus","Vic","Maintenance renal dialysis unit"
"Dandenong Campus","Vic","Major plastic or reconstructive surgery unit"
"Dandenong Campus","Vic","Obstetric services"
"Dandenong Campus","Vic","Oncology unit"
"Dandenong Campus","Vic","Paediatric service"
"Dandenong Campus","Vic","Psychiatric unit"
"Dandenong Campus","Vic","Rehabilitation unit"
"Dandenong Campus","Vic","Sleep centre"
"Daylesford District Hospital","Vic","Domiciliary care unit"
"Daylesford District Hospital","Vic","Maintenance renal dialysis unit"
"Daylesford District Hospital","Vic","Nursing home care unit"
"Dental Health Services Victoria","Vic","Domiciliary care unit"
"Dental Health Services Victoria","Vic","Paediatric service"
"Dimboola District Hospital","Vic","Nursing home care unit"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Alcohol and drug unit"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Domiciliary care unit"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Hospice care unit"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Nursing home care unit"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Obstetric services"
"East Grampians Health Service [Ararat]","Vic","Domiciliary care unit"
"East Grampians Health Service [Ararat]","Vic","Hospice care unit"
"East Grampians Health Service [Ararat]","Vic","Maintenance renal dialysis unit"
"East Grampians Health Service [Ararat]","Vic","Nursing home care unit"
"East Grampians Health Service [Ararat]","Vic","Obstetric services"
"East Grampians Health Service [Ararat]","Vic","Oncology unit"
"East Wimmera Health Service [Birchip]","Vic","Domiciliary care unit"
"East Wimmera Health Service [Birchip]","Vic","Nursing home care unit"
"East Wimmera Health Service [Charlton]","Vic","Domiciliary care unit"
"East Wimmera Health Service [Charlton]","Vic","Nursing home care unit"
"East Wimmera Health Service [Donald]","Vic","Domiciliary care unit"
"East Wimmera Health Service [Donald]","Vic","Maintenance renal dialysis unit"
"East Wimmera Health Service [Donald]","Vic","Nursing home care unit"
"East Wimmera Health Service [St Arnaud]","Vic","Domiciliary care unit"
"East Wimmera Health Service [St Arnaud]","Vic","Nursing home care unit"
"East Wimmera Health Service [Wycheproof]","Vic","Domiciliary care unit"
"East Wimmera Health Service [Wycheproof]","Vic","Nursing home care unit"
"Echuca Regional Health","Vic","Domiciliary care unit"
"Echuca Regional Health","Vic","Emergency department"
"Echuca Regional Health","Vic","Maintenance renal dialysis unit"
"Echuca Regional Health","Vic","Nursing home care unit"
"Echuca Regional Health","Vic","Obstetric services"
"Echuca Regional Health","Vic","Oncology unit"
"Echuca Regional Health","Vic","Rehabilitation unit"
"Edenhope and District Memorial Hospital","Vic","Maintenance renal dialysis unit"
"Edenhope and District Memorial Hospital","Vic","Nursing home care unit"
"Frankston Hospital","Vic","Coronary care unit"
"Frankston Hospital","Vic","Diabetes unit"
"Frankston Hospital","Vic","Domiciliary care unit"
"Frankston Hospital","Vic","Emergency department"
"Frankston Hospital","Vic","Infectious diseases unit"
"Frankston Hospital","Vic","Intensive care unit"
"Frankston Hospital","Vic","Maintenance renal dialysis unit"
"Frankston Hospital","Vic","Major plastic or reconstructive surgery unit"
"Frankston Hospital","Vic","Obstetric services"
"Frankston Hospital","Vic","Oncology unit"
"Frankston Hospital","Vic","Paediatric service"
"Frankston Hospital","Vic","Psychiatric unit"
"Frankston Hospital","Vic","Sleep centre"
"Gippsland Southern Health Service - Korumburra","Vic","Nursing home care unit"
"Gippsland Southern Health Service - Leongatha","Vic","Obstetric services"
"Gippsland Southern Health Service - Leongatha","Vic","Oncology unit"
"Golf Links Road Rehabilitation Centre","Vic","Geriatric assessment unit"
"Golf Links Road Rehabilitation Centre","Vic","Hospice care unit"
"Golf Links Road Rehabilitation Centre","Vic","Nursing home care unit"
"Golf Links Road Rehabilitation Centre","Vic","Rehabilitation unit"
"Goulburn Valley Health [Shepparton]","Vic","Diabetes unit"
"Goulburn Valley Health [Shepparton]","Vic","Domiciliary care unit"
"Goulburn Valley Health [Shepparton]","Vic","Emergency department"
"Goulburn Valley Health [Shepparton]","Vic","Geriatric assessment unit"
"Goulburn Valley Health [Shepparton]","Vic","Hospice care unit"
"Goulburn Valley Health [Shepparton]","Vic","Maintenance renal dialysis unit"
"Goulburn Valley Health [Shepparton]","Vic","Nursing home care unit"
"Goulburn Valley Health [Shepparton]","Vic","Obstetric services"
"Goulburn Valley Health [Shepparton]","Vic","Oncology unit"
"Goulburn Valley Health [Shepparton]","Vic","Paediatric service"
"Goulburn Valley Health [Shepparton]","Vic","Psychiatric unit"
"Goulburn Valley Health [Shepparton]","Vic","Rehabilitation unit"
"Goulburn Valley Health [Tatura]","Vic","Nursing home care unit"
"Goulburn Valley Health [Waranga]","Vic","Nursing home care unit"
"Healesville Hospital and Yarra Valley Health","Vic","Domiciliary care unit"
"Healesville Hospital and Yarra Valley Health","Vic","Geriatric assessment unit"
"Heathcote Health","Vic","Domiciliary care unit"
"Heathcote Health","Vic","Nursing home care unit"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Acute renal dialysis unit"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Domiciliary care unit"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Geriatric assessment unit"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Maintenance renal dialysis unit"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Psychiatric unit"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Rehabilitation unit"
"Hesse Rural Health Service [Winchelsea]","Vic","Domiciliary care unit"
"Hesse Rural Health Service [Winchelsea]","Vic","Nursing home care unit"
"Heywood Rural Health","Vic","Domiciliary care unit"
"Heywood Rural Health","Vic","Nursing home care unit"
"Inglewood & District Health Service","Vic","Nursing home care unit"
"Kerang District Health","Vic","Domiciliary care unit"
"Kerang District Health","Vic","Nursing home care unit"
"Kerang District Health","Vic","Obstetric services"
"Kerang District Health","Vic","Oncology unit"
"Kingston Centre [Cheltenham]","Vic","Domiciliary care unit"
"Kingston Centre [Cheltenham]","Vic","Geriatric assessment unit"
"Kingston Centre [Cheltenham]","Vic","Nursing home care unit"
"Kingston Centre [Cheltenham]","Vic","Psychiatric unit"
"Kingston Centre [Cheltenham]","Vic","Rehabilitation unit"
"Kooweerup Regional Health Service","Vic","Domiciliary care unit"
"Kooweerup Regional Health Service","Vic","Nursing home care unit"
"Kyabram & District Health Service","Vic","Domiciliary care unit"
"Kyabram & District Health Service","Vic","Maintenance renal dialysis unit"
"Kyabram & District Health Service","Vic","Nursing home care unit"
"Kyabram & District Health Service","Vic","Obstetric services"
"Kyabram & District Health Service","Vic","Oncology unit"
"Kyneton District Health Service","Vic","Domiciliary care unit"
"Kyneton District Health Service","Vic","Maintenance renal dialysis unit"
"Kyneton District Health Service","Vic","Obstetric services"
"Latrobe Regional Hospital [Traralgon]","Vic","Coronary care unit"
"Latrobe Regional Hospital [Traralgon]","Vic","Diabetes unit"
"Latrobe Regional Hospital [Traralgon]","Vic","Domiciliary care unit"
"Latrobe Regional Hospital [Traralgon]","Vic","Emergency department"
"Latrobe Regional Hospital [Traralgon]","Vic","Geriatric assessment unit"
"Latrobe Regional Hospital [Traralgon]","Vic","Maintenance renal dialysis unit"
"Latrobe Regional Hospital [Traralgon]","Vic","Nursing home care unit"
"Latrobe Regional Hospital [Traralgon]","Vic","Obstetric services"
"Latrobe Regional Hospital [Traralgon]","Vic","Oncology unit"
"Latrobe Regional Hospital [Traralgon]","Vic","Paediatric service"
"Latrobe Regional Hospital [Traralgon]","Vic","Psychiatric unit"
"Latrobe Regional Hospital [Traralgon]","Vic","Rehabilitation unit"
"Lorne Community Hospital","Vic","Domiciliary care unit"
"Lorne Community Hospital","Vic","Maintenance renal dialysis unit"
"Lorne Community Hospital","Vic","Nursing home care unit"
"Maldon Hospital","Vic","Domiciliary care unit"
"Maldon Hospital","Vic","Nursing home care unit"
"Mallee Track Health & Community Service [Ouyen]","Vic","Domiciliary care unit"
"Mallee Track Health & Community Service [Ouyen]","Vic","Nursing home care unit"
"Mallee Track Health & Community Service [Sea Lake]","Vic","Nursing home care unit"
"Manangatang & District Hospital","Vic","Nursing home care unit"
"Mansfield District Hospital","Vic","Domiciliary care unit"
"Mansfield District Hospital","Vic","Maintenance renal dialysis unit"
"Mansfield District Hospital","Vic","Nursing home care unit"
"Mansfield District Hospital","Vic","Obstetric services"
"Maroondah Hospital [East Ringwood]","Vic","Coronary care unit"
"Maroondah Hospital [East Ringwood]","Vic","Diabetes unit"
"Maroondah Hospital [East Ringwood]","Vic","Domiciliary care unit"
"Maroondah Hospital [East Ringwood]","Vic","Emergency department"
"Maroondah Hospital [East Ringwood]","Vic","Geriatric assessment unit"
"Maroondah Hospital [East Ringwood]","Vic","Intensive care unit"
"Maroondah Hospital [East Ringwood]","Vic","Maintenance renal dialysis unit"
"Maroondah Hospital [East Ringwood]","Vic","Oncology unit"
"Maroondah Hospital [East Ringwood]","Vic","Psychiatric unit"
"Maryborough District Health Service [Dunolly]","Vic","Nursing home care unit"
"Maryborough District Health Service [Maryborough]","Vic","Acute renal dialysis unit"
"Maryborough District Health Service [Maryborough]","Vic","Nursing home care unit"
"Maryborough District Health Service [Maryborough]","Vic","Obstetric services"
"Maryborough District Health Service [Maryborough]","Vic","Oncology unit"
"Melton Health","Vic","Acute renal dialysis unit"
"Melton Health","Vic","Oncology unit"
"Mercy Hospital for Women","Vic","Clinical genetics unit"
"Mercy Hospital for Women","Vic","Domiciliary care unit"
"Mercy Hospital for Women","Vic","Emergency department"
"Mercy Hospital for Women","Vic","Infectious diseases unit"
"Mercy Hospital for Women","Vic","Neonatal intensive care unit"
"Mercy Hospital for Women","Vic","Obstetric services"
"Mercy Hospital for Women","Vic","Oncology unit"
"Mercy Hospital for Women","Vic","Paediatric service"
"Mildura Base Hospital","Vic","Coronary care unit"
"Mildura Base Hospital","Vic","Domiciliary care unit"
"Mildura Base Hospital","Vic","Emergency department"
"Mildura Base Hospital","Vic","Geriatric assessment unit"
"Mildura Base Hospital","Vic","Hospice care unit"
"Mildura Base Hospital","Vic","Maintenance renal dialysis unit"
"Mildura Base Hospital","Vic","Obstetric services"
"Mildura Base Hospital","Vic","Oncology unit"
"Mildura Base Hospital","Vic","Paediatric service"
"Mildura Base Hospital","Vic","Psychiatric unit"
"Mildura Base Hospital","Vic","Rehabilitation unit"
"Monash Medical Centre [Clayton]","Vic","Acute renal dialysis unit"
