"Hospital name","Phone number","Street address","Suburb","Postcode","State","Local Hospital Network (LHN)","Primary Health Network area (PHN)","Website","Description","Sector","Beds","Latitude","Longitude"
"Millicent and Districts Hospital and Health Service","08 8733 4755","Mount Gambier Road","Millicent","5280","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/millicenthospital","Small hospital","Public","<50","-37.598354","140.358924"
"Millmerran Hospital","07 4695 3111","50 Commens Street","Millmerran","4357","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-millmerran-hs.asp","Regional hospital","Public","<50","-27.878927999999998","151.26267000000001"
"Milton Ulladulla Hospital","02 4454 9100","104-106 Princes Highway","Milton","2538","NSW","Illawarra Shoalhaven","South Eastern NSW","www.islhd.health.nsw.gov.au/Milton_Ulladulla/default.asp","Small hospital with an emergency department","Public","<50","-35.317312999999999","150.438918"
"Miranda Eye Surgical Centre","02 9540 4586","Suite 4/16-22 Willock Avenue","Miranda","2228","NSW","","","","","Private","<50","-34.032440000000001","151.101631"
"Mitcham Private Hospital","03 9210 3222","27 Doncaster East Road","Mitcham","3132","Vic","","","www.mitchamprivate.com.au","","Private","100-199","-37.810436000000003","145.19480799999999"
"Mitchell Hospital","07 4623 1277","95 Ann Street","Mitchell","4465","Qld","South West (Qld)","Western Queensland","www.health.qld.gov.au/services/southwest/swest_mitch_hosp.asp","Regional hospital","Public","<50","-26.489913000000001","147.97249299999999"
"Modbury Hospital","08 8161 2000","41-69 Smart Road","Modbury","5092","SA","Northern Adelaide","Adelaide","www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+metropolitan+adelaide/modbury+hospital/modbury+hospital","Large metropolitan hospital with an emergency department","Public","100-199","-34.834166000000003","138.690505"
"Mogo Day Surgery","02 4474 3774","2-4 Charles Street","Mogo","2536","NSW","","","www.mogodaysurgery.com.au","","Private","<50","-35.782893000000001","150.14386999999999"
"Molong Health Service","02 6392 3300","King Street","Molong","2866","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-33.087622000000003","148.859724"
"Mona Vale Hospital","02 9998 6300","18 Coronation Street","Mona Vale","2103","NSW","Northern Sydney","Northern Sydney","www.nslhd.health.nsw.gov.au/Hospitals/MonaVale/","Large metropolitan hospital","Public","100-199","-33.685352999999999","151.30661799999999"
"Monash Medical Centre [Clayton]","03 9594 6666","246 Clayton Road","Clayton","3168","Vic","Monash Health","Eastern Melbourne","http://www.monashhealth.org/page/Monash_Medical_Centre","Major hospital with an emergency department","Public",">500","-37.921176000000003","145.12312800000001"
"Monash Medical Centre [Moorabbin]","03 9928 8111","823-865 Centre Road","East Bentleigh","3165","Vic","Monash Health","South Eastern Melbourne","","Large metropolitan hospital","Public","100-199","-37.920696999999997","145.063197"
"Monto Hospital","07 4166 9300","35 Flinders Street","Monto","4630","Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-monto.asp","Regional hospital","Public","<50","-24.866423999999999","151.11250100000001"
"Montserrat Day Hospital Gaythorne","07 3550 3550","383-391 Samford Road","Gaythorne","4051","Qld","","","www.montserrat.com.au","","Private","<50","-27.417069000000001","152.982237"
"Moora Hospital","08 9651 0222","Dandaragan Road","Moora","6510","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=120","Regional hospital","Public","<50","-30.639557","116.001119"
"Moranbah Hospital","07 4941 4600","Elliott Street","Moranbah","4744","Qld","Mackay","Northern Queensland","www.health.qld.gov.au/services/mackay/moranb_hosp.asp","Regional hospital","Public","<50","-22.002124999999999","148.05528699999999"
"Morawa Health Service","08 9971 0200","Caulfield Road","Morawa","6623","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=121","Regional hospital","Public","<50","-29.212897000000002","116.00298600000001"
"Moree Hospital","02 6757 0000","Alice Street","Moree","2400","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","<50","-29.470677999999999","149.83964800000001"
"Morisset Hospital","02 4973 0222","Dora Street","Morisset","2264","NSW","Hunter New England","Hunter New England and Central Coast","","Specialist psychiatric hospital","Public","100-199","-33.128549","151.51281599999999"
"Mornington Island Hospital","07 4745 7209","Lardyl Street","Mornington Island","4871","Qld","North West (Qld)","Western Queensland","https://www.health.qld.gov.au/services/northwest/nwest_mornis_phcc","Regional hospital","Public","<50","-16.665534000000001","139.17855900000001"
"Moruya Hospital","02 4474 2666","2-10 River Street","Moruya","2537","NSW","Southern NSW","South Eastern NSW","","Small hospital with an emergency department","Public","50-99","-35.904136999999999","150.070774"
"Mossman Hospital","07 4084 1200","9 Hospital Street","Mossman","4873","Qld","Cairns and Hinterland","Northern Queensland","www.health.qld.gov.au/services/cairns-hinterland/cairns_doug_mphs.asp","Small hospital","Public","<50","-16.464030999999999","145.36802499999999"
"Mount Barker District Soldiers' Memorial Hospital","08 8393 1777","Wellington Road","Mount Barker","5251","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/MtBarkerhospital","Small hospital","Public","<50","-35.081812999999997","138.87027699999999"
"Mount Druitt Hospital","02 9881 1555","75 Railway Street","Mount Druitt","2770","NSW","Western Sydney","Western Sydney","http://www.wslhd.health.nsw.gov.au/Blacktown-Mount-Druitt-Hospital","Medium metropolitan hospital with an emergency department","Public","100-199","-33.765929","150.829646"
"Mount Gambier and Districts Health Service","08 8721 1200","276-300 Wehl Street North","Mount Gambier","5290","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/mtgambierhospital","Medium regional hospital with an emergency department","Public","50-99","-37.805002999999999","140.78666200000001"
"Mount Gambier Private Hospital","08 8721 1412","276-300 Wehl Street North","Mount Gambier","5290","SA","","","","","Private","<50","-37.805951999999998","140.78688700000001"
"Mount Hospital","08 9481 1822","150 Mounts Bay Road","West Perth","6005","WA","","","www.mounthospital.com.au","","Private","200-500","-31.958534","115.845401"
"Mount Isa Base Hospital","07 4744 4444","30 Camooweal Street","Mount Isa","4825","Qld","North West (Qld)","Western Queensland","https://www.health.qld.gov.au/services/northwest/nwest_mtisa_hosp","Medium regional hospital with an emergency department","Public","50-99","-20.730919","139.49381500000001"
"Mount Morgan Hospital","07 4912 5100","Black Street","Mount Morgan","4714","Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/mt-morgan.asp","Regional hospital","Public","<50","-23.645094","150.392639"
"Mount Pleasant District Hospital","08 8568 0000","28 Hospital Road","Mount Pleasant","5235","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/MtPleasanthospital","Regional hospital","Public","<50","-34.773854999999998","139.05421200000001"
"Mount Wilga Private Hospital","02 9847 5000","66 Rosamond Street","Hornsby","2077","NSW","","","www.mtwilgaprivate.com.au/","","Private","50-99","-33.692829000000003","151.092939"
"Moura Hospital","07 4997 2900","14 Nott Street","Moura","4718","Qld","Central Queensland","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/central-queensland/moura.asp","Regional hospital","Public","<50","-24.575948","149.975999"
"Moyne Health Services [Port Fairy]","03 5568 0100","30-36 Villiers Street","Port Fairy","3284","Vic","Moyne Health Services (Port Fairy)","Western Victoria","","Regional hospital","Public","<50","-38.381599000000001","142.22752299999999"
"Mudgee Health Service","02 6378 6222","Meares Street","Mudgee","2850","NSW","Western NSW","Western NSW","","Small hospital with an emergency department","Public","<50","-32.603228999999999","149.588179"
"Mullewa Health Service","08 9961 6200","Elder Street","Mullewa","6630","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=124","Regional hospital","Public","<50","-28.535990999999999","115.510017"
"Mundubbera Hospital","07 4165 5200","96 Leichhardt Street","Mundubbera","4626","Qld","Wide Bay","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/widebay/wb-mundubbera.asp","Regional hospital","Public","<50","-25.587619","151.293282"
"Mungindi Hospital","02 6705 6100","Barwon Street","Mungindi","2406","Qld","South West (Qld)","Western Queensland","www.health.qld.gov.au/services/southwest/swest_mungin_hosp.asp","Regional hospital","Public","<50","-28.972816999999999","148.98906099999999"
"Murgon Hospital","07 4169 9600","Coronation Drive","Murgon","4605","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-murgon-hs.asp","Regional hospital","Public","<50","-26.239075","151.95070200000001"
"Murray Bridge Soldiers' Memorial Hospital","08 8535 6777","96 Swanport Road","Murray Bridge","5253","SA","Country Health SA","Country SA","http://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+-+country+south+australia/murray+mallee+hospitals+and+health+services/murray+bridge+soldiers+memorial+hospital","Small hospital","Public","50-99","-35.128911000000002","139.280462"
"Murray District Hospital","08 9531 7222","McKay Street","Pinjarra","6208","WA","South Metropolitan Health Service (WA)","Perth South","www.rkpg.health.wa.gov.au","Regional hospital","Public","<50","-32.639709000000003","115.871589"
"Murray Valley Private Hospital","02 6055 3100","Nordsvan Drive","Wodonga","3690","Vic","","","www.mvph.com.au","","Private","<50","-36.138418999999999","146.87647799999999"
"Murrumburrah-Harden Hospital","02 6386 2200","54 Swift Street","Harden","2587","NSW","Murrumbidgee","Murrumbidgee","","Regional hospital with an emergency department","Public","<50","-34.555253999999998","148.360186"
"Murwillumbah Hospital","02 6672 1822","8 Ewing Street","Murwillumbah","2484","NSW","Northern NSW","North Coast","","Small hospital with an emergency department","Public","50-99","-28.323416999999999","153.400811"
"Muswellbrook Hospital","02 6542 2000","36 Brentwood Street","Muswellbrook","2333","NSW","Hunter New England","Hunter New England and Central Coast","","Small hospital with an emergency department","Public","50-99","-32.264544999999998","150.900263"
"Nambour Day Surgery","07 5476 3700","115 Howard Street","Nambour","4560","Qld","","","www.eastcoastwomens.com.au","","Private","","-26.626321000000001","152.96409"
"Nambour General Hospital","07 5470 6600","Hospital Road","Nambour","4560","Qld","Sunshine Coast","Central Queensland, Wide Bay and Sunshine Coast","www.health.qld.gov.au/services/sunshinecoast/nambour.asp","Large metropolitan hospital with an emergency department","Public","100-199","-26.621659000000001","152.95224899999999"
"Nambour Selangor Private Hospital","07 5459 7444","62 Netherton Street","Nambour","4560","Qld","","","www.nambourselangor.com.au","","Private","50-99","-26.618265000000001","152.955949"
"Nanango Hospital","07 4171 6700","135 Brisbane Street","Nanango","4615","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-nanango-hs.asp","Regional hospital","Public","<50","-26.666405000000001","152.00783300000001"
"Nannup Hospital","08 9756 3800","Carey Street","Nannup","6275","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=126","Regional hospital","Public","<50","-33.982796999999998","115.76723"
"Naracoorte Health Service","08 8762 8100","101 Jenkins Terrace","Naracoorte","5271","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/naracoortehospital","Small hospital","Public","50-99","-36.966849000000003","140.74369300000001"
"Narembeen Memorial Hospital","08 9064 6222","Ada Street","Narembeen","6369","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=127","Regional hospital","Public","<50","-32.061618000000003","118.391289"
"Narrabri Hospital","02 6799 2800","11 Cameron Street","Narrabri","2390","NSW","Hunter New England","Hunter New England and Central Coast","www.hnehealth.nsw.gov.au","Small hospital with an emergency department","Public","<50","-30.325869000000001","149.777108"
"Narrandera Hospital","02 6951 0200","54 Adams Street","Narrandera","2700","NSW","Murrumbidgee","Murrumbidgee","","Small hospital with an emergency department","Public","<50","-34.743181","146.54766100000001"
"Narrogin Hospital","08 9881 0333","Williams Road","Narrogin","6312","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=129","Small hospital","Public","<50","-32.937341000000004","117.168459"
"Narromine Health Service","02 6889 9600","128 Cathundral Street","Narromine","2821","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-32.242609999999999","148.23920100000001"
"Nathalia District Hospital","03 5866 9444","36-44 McDonnell Street","Nathalia","3638","Vic","Nathalia District Hospital","Murray","www.humehealth.com.au/nathalia","Regional hospital","Public","<50","-36.054754000000003","145.20432400000001"
"National Capital Private Hospital","02 6222 6666","Corner of Gilmore Crescent and Hospital Road","Garran","2605","ACT","","","www.nationalcapitalprivatehospital.com.au","","Private","50-99","-35.344872000000002","149.101944"
"Nepean Hospital","02 4734 2000","Derby Street","Kingswood","2747","NSW","Nepean Blue Mountains","Nepean Blue Mountains","www.nbmlhd.health.nsw.gov.au/Nepean-Hospital/Nepean-Hospital","Major hospital with an emergency department","Public",">500","-33.759864999999998","150.712627"
"Nepean Private Hospital","02 4732 7333","1-9 Barber Avenue","Kingswood","2747","NSW","","","www.nepeanprivatehospital.com.au","","Private","100-199","-33.759774999999998","150.71520599999999"
"Neringah Hospital","02 9488 2200","4-12 Neringah Avenue","Wahroonga","2076","NSW","Northern Sydney","Northern Sydney","","Metropolitan hospital","Public","<50","-33.717855999999998","151.11455599999999"
"New Farm Clinic","07 3254 9100","22 Sargent Street","New Farm","4005","Qld","","","www.newfarmclinic.com.au/","","Private","100-199","-27.473623","153.04587900000001"
"New Norfolk District Hospital","03 6166 1300","3 Richmond Street","New Norfolk","7140","Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/new_norfolk_district_hospital","Regional hospital","Public","<50","-42.781314999999999","147.059179"
"Newcastle Private Hospital","02 4941 8400","14 Lookout Road","New Lambton Heights","2305","NSW","","","www.newcastleprivatehospital.com.au","","Private","100-199","-32.922536999999998","151.69837100000001"
"Newman Hospital","08 9175 8333","54 Mindarra Drive","Newman","6753","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=131","Regional hospital","Public","<50","-23.354824000000001","119.736503"
"Next Step Drug And Alcohol Services, East Perth","08 9219 1919","32 Moore Street","East Perth","6004","WA","East Metropolitan Health Service (WA)","Perth North","","Drug and alcohol hospital","Public","<50","-31.953405","115.86917099999999"
"Nimbin Multi Purpose Service","02 6689 1400","35 Cullen Street","Nimbin","2480","NSW","Northern NSW","North Coast","","Regional hospital with an emergency department","Public","<50","-28.597370999999999","153.223185"
"Noarlunga Hospital","08 8384 9222","Alexander Kelly Drive","Noarlunga Centre","5168","SA","Southern Adelaide","Adelaide","www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/health+services/hospitals+and+health+services+metropolitan+adelaide/noarlunga+hospital/noarlunga+hospital","Medium metropolitan hospital with an emergency department","Public","50-99","-35.139879000000001","138.50021799999999"
"Noosa Hospital","07 5455 9200","111 Goodchap Street","Noosaville","4566","Qld","","","www.noosahospital.com.au","","Private","50-99","-26.403209","153.04630900000001"
"Normanton Hospital","07 4745 2100","Brown Street","Normanton","4890","Qld","North West (Qld)","Western Queensland","www.health.qld.gov.au/services/northwest/nwest_norm_hosp.asp","Regional hospital","Public","<50","-17.678739","141.08642499999999"
"Norseman Hospital","08 9039 9200","Talbot Street","Norseman","6443","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=134","Regional hospital","Public","<50","-32.198566","121.767663"
"North East Soldiers' Memorial Hospital and Community Service Centre (Scottsdale Hospital)","03 6778 8522","28 Fosters Road","Scottsdale","7260","Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/north_east_soldiers_memorial_hospital_and_community_service_centre/_nocache?SQ_DESIGN_NAME=v2","Small hospital","Public","<50","-41.154294","147.52132399999999"
"North Eastern Rehabilitation Centre","03 9474 8900","134-144 Ford Street","Ivanhoe","3079","Vic","","","www.northeasternrehabilitationcentre.com.au","","Private","<50","-37.763424000000001","145.03134399999999"
"North Lakes Day Hospital","07 3833 6755","7 Endeavour Boulevard","North Lakes","4509","Qld","","","www.montserrat.com.au","","Private","<50","-27.238983999999999","153.02194700000001"
"North Midlands Health Service","08 9954 3200","Thomas Street","Three Springs","6519","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=136","Regional hospital","Public","<50","-29.534220999999999","115.759184"
"North Queensland Day Surgical Centre","07 4725 2677","119 Kings Road","Pimlico","4812","Qld","","","www.visioneyeinstitute.com.au","","Private","","-19.279643","146.79146800000001"
"North Shore Private Hospital","02 8425 3000","3 Westbourne Street","St Leonards","2065","NSW","","","www.northshoreprivate.com.au","","Private","200-500","-33.820622","151.18915899999999"
"North West Private Hospital","07 3246 3133","137 Flockton Street","Everton Park","4053","Qld","","","www.northwestprivatehospital.com.au","","Private","100-199","-27.393992000000001","152.992705"
"North West Regional Hospital","03 6430 6666","23 Brickport Road","Burnie","7320","Tas","Tasmanian Health Service","Tasmania","www.dhhs.tas.gov.au/service_information/service_delivery_points/north_west_regional_hospital","Large regional hospital with an emergency department","Public","100-199","-41.048385000000003","145.880842"
"Northam Hospital","08 9690 1300","Robinson Street","Northam","6401","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=137","Small hospital","Public","<50","-31.649581999999999","116.657681"
"Northampton Kalbarri Health Service","08 9934 0200","Stephen Street","Northampton","6535","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=138","Regional hospital","Public","<50","-28.351194","114.635119"
"Northeast Health Wangaratta","03 5722 5111","35-47 Green Street","Wangaratta","3677","Vic","Northeast Health Wangaratta","Murray","","Large regional hospital with an emergency department","Public","100-199","-36.354035000000003","146.31388899999999"
"Northern Beaches Hospital","02 9105 5000","105 Frenchs Forest Road (West)","Frenchs Forest","2086","NSW","Northern Sydney","Northern Sydney","www.northernbeacheshospital.com.au","","Public","200-500","-33.750646000000003","151.23376999999999"
"Northern Yorke Peninsula Health Service (Wallaroo)","08 8823 0200","1 Ernest Terrace","Wallaroo","5556","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/wallaroohospital","Small hospital","Public","<50","-33.927737999999998","137.63678300000001"
"Northpark Private Hospital","03 9468 0100","Corner of Plenty and Greenhills Roads","Bundoora","3083","Vic","","","www.northparkprivatehospital.com.au","","Private","100-199","-37.691208000000003","145.06163100000001"
"Northside Clinic","02 9433 3555","2 Greenwich Road","Greenwich","2065","NSW","","","www.northsidegroup.com.au","","Private","50-99","-33.825156","151.188367"
"Northside Cremorne Clinic","02 9909 8577","3 Harrison Street","Cremorne","2090","NSW","","","www.northsidegroup.com.au","","Private","<50","-33.833424999999998","151.22288599999999"
"Northside Macarthur Clinic","02 4640 5555","92-96 Dumaresq Street","Campbelltown","2560","NSW","","","www.northsidemacarthur.com.au/","","Private","<50","-34.071998999999998","150.816958"
"Northside West Clinic","02 8833 2222","23-27 Lytton Street","Wentworthville","2145","NSW","","","www.northsidegroup.com.au","","Private","50-99","-33.811188000000001","150.97457499999999"
"Norwest Private Hospital","02 8882 8882","11 Norbrik Drive","Bella Vista","2153","NSW","","","www.norwestprivatehospital.com.au","","Private","200-500","-33.744940999999997","150.953608"
"Nowra Private Hospital","02 4424 4700","Weeroona Place","Nowra","2541","NSW","","","www.nowraprivate.com.au","","Private","50-99","-34.893534000000002","150.606551"
"Numurkah & District Health Service","03 5862 0555","2 Katamatite Road","Numurkah","3636","Vic","Numurkah and District Health Service","Murray","","Regional hospital","Public","<50","-36.100000999999999","145.44369499999999"
"Nyngan Multi Purpose Service","02 6835 1700","15 Hoskins Street","Nyngan","2825","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-31.560023999999999","147.20877200000001"
"Oakey Hospital","07 4691 4888","Corner Beale and Fitzpatrick Streets","Oakey","4401","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-oakey-hs.asp","Regional hospital","Public","<50","-27.424078999999999","151.719088"
"Oberon Multi Purpose Service","02 6336 6700","67-73 North Street","Oberon","2787","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-33.705249000000002","149.85359600000001"
"Omeo District Health","03 5159 0100","12 Easton Street","Omeo","3898","Vic","Omeo District Health","Gippsland","www.gha.net.au/odh","Regional hospital","Public","<50","-37.098142000000003","147.59732099999999"
"Onslow Hospital","08 9184 3200","Second Avenue","Onslow","6710","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=221","Regional hospital","Public","<50","-21.643238","115.11538899999999"
"Orange Day Surgery Centre","02 6360 3699","60-62 McNamara Street","Orange","2800","NSW","","","","","Private","<50","-33.283026999999997","149.10273699999999"
"Orange Health Service","02 6369 3000","1530 Forest Road","Orange","2800","NSW","Western NSW","Western NSW","","Large regional hospital with an emergency department","Public","200-500","-33.317315999999998","149.093953"
"Orbost Regional Health","03 5154 6666","104 Boundary Road","Orbost","3888","Vic","Orbost Regional Health","Gippsland","","Small hospital","Public","<50","-37.701844000000001","148.464957"
"Oromax Day Surgery","08 8232 3525","Level 3, 1 Hutt Street","Adelaide","5000","SA","","Adelaide","www.oromax.com.au","","Private","<50","-34.925331","138.61144100000001"
"Orroroo and District Health Service","08 8658 1023","Pekina Road","Orroroo","5431","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/orroroohealthservice","Regional hospital","Public","<50","-32.738518999999997","138.60720599999999"
"Orygen Inpatient Unit","03 8345 7550","35 Mavis Street","Footscray","3011","Vic","Melbourne Health","North Western Melbourne","www.oyh.org.au","Specialist psychiatric hospital","Public","<50","-37.791925999999997","144.886617"
"Osborne Park Hospital","08 9346 8000","Osborne Place","Stirling","6021","WA","North Metropolitan Health Service (WA)","Perth North","www.oph.health.wa.gov.au","Small hospital","Public","100-199","-31.885975999999999","115.804717"
"Otway Health & Community Services [Apollo Bay]","03 5237 8500","37-43 Mclachlan Street","Apollo Bay","3233","Vic","Otway Health and Community Services (Apollo Bay)","Western Victoria","www.otwayhealth.org.au","Regional hospital","Public","<50","-38.753852999999999","143.664264"
"Oxford Day Surgery and Dermatology","08 6140 1000","Suite 4, 1st Floor, 416-418 Oxford Street","Mount Hawthorn","6016","WA","","","www.oxforddaysurgery.com.au","","Private","<50","-31.922726999999998","115.841536"
"Oxford Day Surgery Centre","08 8373 1755","54 Oxford Terrace","Unley","5061","SA","","","","","Private","","-34.949658999999997","138.608408"
"Pacific Private Day Hospital","07 5556 6222","123 Nerang Street","Southport","4215","Qld","","","www.pacificprivatehospital.com.au","","Private","<50","-27.970407000000002","153.40782899999999"
"Pambula Hospital","02 6495 8200","Merimbola Street","Pambula","2549","NSW","Southern NSW","South Eastern NSW","","Regional hospital","Public","<50","-36.926316","149.879232"
"Paraburdoo Hospital","08 9159 8222","Lot 608 Rocklea Road","Paraburdoo","6754","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=254","Regional hospital","Public","<50","-23.203030999999999","117.670633"
"Parkside Cosmetic Surgery","08 8357 0300","7 Unley Road","Parkside","5063","SA","","","www.parksidecosmetic.com.au","","Private","<50","-34.941935999999998","138.60695200000001"
"Parkwynd Private Hospital","08 8223 3294","137 East Terrace","Adelaide","5000","SA","","","www.parkwyndprivatehospital.com.au","","Private","<50","-34.928514","138.61427599999999"
"Peak Hill Multipurpose Service","02 6861 7100","111 Newell Highway","Peak Hill","2869","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-32.735906999999997","148.19961499999999"
"Peel Health Campus","08 9531 8000","110 Lakes Road","Mandurah","6210","WA","South Metropolitan Health Service (WA)","Perth South","www.health.wa.gov.au/services/detail.cfm?Unit_ID=2514","Medium metropolitan hospital with an emergency department","Public","100-199","-32.532572999999999","115.763504"
"Pemberton Hospital","08 9776 4000","Railway Cresent","Pemberton","6260","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=149","Regional hospital","Public","<50","-34.444875000000003","116.031954"
"Peninsula Private Hospital Queensland","07 3883 9300","Corner of George and Florence Streets","Kippa-Ring","4021","Qld","","","www.peninsulaprivate.com.au","","Private","<50","-27.230695999999998","153.093087"
"Peninsula Private Hospital Victoria","03 9788 3466","525 McClelland Drive","Frankston","3199","Vic","","","www.peninsulaph.com.au/","","Private","100-199","-38.157556999999997","145.16955200000001"
"Pennant Hills Day Surgery","02 9481 0048","361 Pennant Hills Rd","Pennant Hills","2120","NSW","","","www.pennanthillsdaysurgery.com.au","","Private","","-33.738295000000001","151.074354"
"Penola War Memorial Hospital","08 8737 2311","18 Church Street","Penola","5277","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/penolahospital","Regional hospital","Public","<50","-37.382872999999996","140.836465"
"Perfect Vision Day Surgery","131340","3/25-29 Hunter Street","Hornsby","2077","NSW","","","www.perfectvision.com.au","","Private","","-33.703229999999998","151.10025899999999"
"Perth Children’s Hospital","08 6456 2222","15 Hospital Avenue","Nedlands","6009","WA","Child Adolescent Health Service (WA)","Perth North","pch.health.wa.gov.au","Specialist children's hospital with an emergency department","Public","","-31.969503","115.817165"
"Perth Clinic","08 9481 4888","27-29 Havelock Street","West Perth","6005","WA","","","www.perthclinic.com.au","","Private","50-99","-31.950873999999999","115.843266"
"Peter MacCallum Cancer Centre","03 9656 1111","305 Grattan Street","Melbourne","3000","Vic","Peter MacCallum Cancer Institute (Vic)","North Western Melbourne","www.petermac.org","Specialist cancer hospital","Public","100-199","-37.80001","144.95660699999999"
"Peterborough Soldiers' Memorial Hospital","08 8651 0400","23 Hurlstone Street","Peterborough","5422","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/peterboroughhospital","Regional hospital","Public","<50","-32.980786000000002","138.830344"
"Pindara Day Procedure Centre","07 5588 9588","13 Carrara Street","Benowa","4217","Qld","","","","","Private","","-28.008507999999999","153.39373000000001"
"Pindara Private Hospital","07 5588 9888","Allchurch Avenue","Benowa","4217","Qld","","","www.pindaraprivate.com.au","","Private","200-500","-28.007076000000001","153.39356900000001"
"Pine Rivers Private Hospital","07 3881 7222","34 Dixon Street","Strathpine","4500","Qld","","","www.pineriversprivatehospital.com.au","","Private","50-99","-27.308361000000001","152.994832"
"Pingelly Health Centre","08 9887 2222","Corner of Somerset St and Brown St","Pingelly","6308","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=150","Regional hospital","Public","<50","-32.533042000000002","117.089789"
"Pinnaroo Soldiers' Memorial Hospital","08 8577 9222","Bundey Terrace","Pinnaroo","5304","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/pinnaroohospital","Regional hospital","Public","<50","-35.257499000000003","140.902447"
"Plantagenet Hospital","08 9892 1222","Langton Road","Mount Barker","6324","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=151","Regional hospital","Public","<50","-34.626092","117.654561"
"Port Augusta Hospital and Regional Health Services","08 8668 7500","71 Hospital Road","Port Augusta","5700","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/ptaugusthospital","Medium regional hospital with an emergency department","Public","50-99","-32.509416999999999","137.77627899999999"
"Port Broughton and District Hospital and Health Service","08 8635 2200","Bay Street","Port Broughton","5522","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/ptbroughtonhospital","Regional hospital","Public","<50","-33.601286999999999","137.93437900000001"
"Port Kembla Hospital","02 4223 8000","89-91 Cowper Street","Warrawong","2502","NSW","Illawarra Shoalhaven","South Eastern NSW","www.islhd.health.nsw.gov.au/Port_Kembla_Hospital/default.asp","Metropolitan hospital","Public","50-99","-34.485923","150.881778"
"Port Lincoln Health Service","08 8683 2200","39 Oxford Terrace","Port Lincoln","5606","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/ptlincolnhospital","Small hospital with an emergency department","Public","50-99","-34.724080000000001","135.850201"
