"Hospital","State","Peer group","Time period","Type of case","Proxy reporting","Cases","Patient days under surveillance","Rate per 10,000 patient days","","Peer group average"
"Dimboola District Hospital","Vic","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Dimboola District Hospital","Vic","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Dimboola District Hospital","Vic","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Dimboola District Hospital","Vic","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Dimboola District Hospital","Vic","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Dimboola District Hospital","Vic","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Dimboola District Hospital","Vic","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Dimboola District Hospital","Vic","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Dimboola District Hospital","Vic","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Dimboola District Hospital","Vic","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Unpeered","2010–11","Total","","0","8276","0","","Not peered"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Unpeered","2011–12","Total","","0","8984","0","","Not peered"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Unpeered","2012–13","Total","","0","9576","0","","Not peered"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Unpeered","2013–14","Total","","0","9584","0","","Not peered"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Unpeered","2014–15","Total","","0","9359","0","","Not peered"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Unpeered","2015–16","Total","","1","8429","1.19","","Not peered"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Unpeered","2016–17","Total","","0","7183","0","","Not peered"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Unpeered","2017–18","Total","","0","7463","0","","Not peered"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Unpeered","2016–17","MRSA","","0","7183","0","","Not peered"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Unpeered","2017–18","MRSA","","0","7463","0","","Not peered"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Unpeered","2016–17","MSSA","","0","7183","0","","Not peered"
"Djerriwarrh Health Service [Bacchus Marsh]","Vic","Unpeered","2017–18","MSSA","","0","7463","0","","Not peered"
"East Grampians Health Service [Ararat]","Vic","Unpeered","2010–11","Total","","1","7660","1.31","","Not peered"
"East Grampians Health Service [Ararat]","Vic","Unpeered","2011–12","Total","","0","8581","0","","Not peered"
"East Grampians Health Service [Ararat]","Vic","Unpeered","2012–13","Total","","0","7982","0","","Not peered"
"East Grampians Health Service [Ararat]","Vic","Unpeered","2013–14","Total","","0","8187","0","","Not peered"
"East Grampians Health Service [Ararat]","Vic","Unpeered","2014–15","Total","","0","8554","0","","Not peered"
"East Grampians Health Service [Ararat]","Vic","Unpeered","2015–16","Total","","0","8544","0","","Not peered"
"East Grampians Health Service [Ararat]","Vic","Unpeered","2016–17","Total","","1","9083","1.10","","Not peered"
"East Grampians Health Service [Ararat]","Vic","Unpeered","2017–18","Total","","0","8896","0","","Not peered"
"East Grampians Health Service [Ararat]","Vic","Unpeered","2016–17","MRSA","","0","9083","0","","Not peered"
"East Grampians Health Service [Ararat]","Vic","Unpeered","2017–18","MRSA","","0","8896","0","","Not peered"
"East Grampians Health Service [Ararat]","Vic","Unpeered","2016–17","MSSA","","1","9083","1.10","","Not peered"
"East Grampians Health Service [Ararat]","Vic","Unpeered","2017–18","MSSA","","0","8896","0","","Not peered"
"East Grampians Health Service [Willaura]","Vic","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"East Grampians Health Service [Willaura]","Vic","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"East Grampians Health Service [Willaura]","Vic","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"East Grampians Health Service [Willaura]","Vic","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"East Grampians Health Service [Willaura]","Vic","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"East Grampians Health Service [Willaura]","Vic","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"East Grampians Health Service [Willaura]","Vic","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"East Grampians Health Service [Willaura]","Vic","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"East Grampians Health Service [Willaura]","Vic","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"East Grampians Health Service [Willaura]","Vic","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"East Grampians Health Service [Willaura]","Vic","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"East Grampians Health Service [Willaura]","Vic","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Birchip]","Vic","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Birchip]","Vic","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Birchip]","Vic","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Birchip]","Vic","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Birchip]","Vic","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Birchip]","Vic","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Birchip]","Vic","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Birchip]","Vic","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Birchip]","Vic","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Birchip]","Vic","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Birchip]","Vic","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Birchip]","Vic","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Charlton]","Vic","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Charlton]","Vic","Unpeered","2011–12","Total","",NA,NA,NA,"","Not peered"
"East Wimmera Health Service [Charlton]","Vic","Unpeered","2012–13","Total","",NA,NA,NA,"","Not peered"
"East Wimmera Health Service [Charlton]","Vic","Unpeered","2013–14","Total","",NA,NA,NA,"","Not peered"
"East Wimmera Health Service [Charlton]","Vic","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Charlton]","Vic","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Charlton]","Vic","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Charlton]","Vic","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Charlton]","Vic","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Charlton]","Vic","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Charlton]","Vic","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Charlton]","Vic","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Donald]","Vic","Unpeered","2010–11","Total","","1","<5,000","NP","","Not peered"
"East Wimmera Health Service [Donald]","Vic","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Donald]","Vic","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Donald]","Vic","Unpeered","2013–14","Total","","1","<5,000","NP","","Not peered"
"East Wimmera Health Service [Donald]","Vic","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Donald]","Vic","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Donald]","Vic","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Donald]","Vic","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Donald]","Vic","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Donald]","Vic","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Donald]","Vic","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Donald]","Vic","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [St Arnaud]","Vic","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [St Arnaud]","Vic","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [St Arnaud]","Vic","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [St Arnaud]","Vic","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [St Arnaud]","Vic","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [St Arnaud]","Vic","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [St Arnaud]","Vic","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [St Arnaud]","Vic","Unpeered","2017–18","Total","","1","<5,000","NP","","Not peered"
"East Wimmera Health Service [St Arnaud]","Vic","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [St Arnaud]","Vic","Unpeered","2017–18","MRSA","","1","<5,000","NP","","Not peered"
"East Wimmera Health Service [St Arnaud]","Vic","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [St Arnaud]","Vic","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Wycheproof]","Vic","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Wycheproof]","Vic","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Wycheproof]","Vic","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Wycheproof]","Vic","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Wycheproof]","Vic","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Wycheproof]","Vic","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Wycheproof]","Vic","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Wycheproof]","Vic","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Wycheproof]","Vic","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Wycheproof]","Vic","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Wycheproof]","Vic","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"East Wimmera Health Service [Wycheproof]","Vic","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Echuca Regional Health","Vic","Unpeered","2010–11","Total","","3","18439","1.63","","Not peered"
"Echuca Regional Health","Vic","Unpeered","2011–12","Total","","1","19636","0.51","","Not peered"
"Echuca Regional Health","Vic","Unpeered","2012–13","Total","","3","17763","1.69","","Not peered"
"Echuca Regional Health","Vic","Unpeered","2013–14","Total","","1","17694","0.57","","Not peered"
"Echuca Regional Health","Vic","Unpeered","2014–15","Total","","1","21393","0.47","","Not peered"
"Echuca Regional Health","Vic","Unpeered","2015–16","Total","","0","25066","0","","Not peered"
"Echuca Regional Health","Vic","Unpeered","2016–17","Total","","3","25603","1.17","","Not peered"
"Echuca Regional Health","Vic","Unpeered","2017–18","Total","","2","26416","0.76","","Not peered"
"Echuca Regional Health","Vic","Unpeered","2016–17","MRSA","","0","25603","0","","Not peered"
"Echuca Regional Health","Vic","Unpeered","2017–18","MRSA","","0","26416","0","","Not peered"
"Echuca Regional Health","Vic","Unpeered","2016–17","MSSA","","3","25603","1.17","","Not peered"
"Echuca Regional Health","Vic","Unpeered","2017–18","MSSA","","2","26416","0.76","","Not peered"
"Edenhope and District Memorial Hospital","Vic","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Edenhope and District Memorial Hospital","Vic","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Edenhope and District Memorial Hospital","Vic","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Edenhope and District Memorial Hospital","Vic","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Edenhope and District Memorial Hospital","Vic","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Edenhope and District Memorial Hospital","Vic","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Edenhope and District Memorial Hospital","Vic","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Edenhope and District Memorial Hospital","Vic","Unpeered","2017–18","Total","","1","<5,000","NP","","Not peered"
"Edenhope and District Memorial Hospital","Vic","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Edenhope and District Memorial Hospital","Vic","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Edenhope and District Memorial Hospital","Vic","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Edenhope and District Memorial Hospital","Vic","Unpeered","2017–18","MSSA","","1","<5,000","NP","","Not peered"
"Frankston Hospital","Vic","Large hospitals","2010–11","Total","","11","157131","0.70","","1"
"Frankston Hospital","Vic","Large hospitals","2011–12","Total","","16","162483","0.98","","0.93"
"Frankston Hospital","Vic","Large hospitals","2012–13","Total","","15","153708","0.98","","0.97"
"Frankston Hospital","Vic","Large hospitals","2013–14","Total","","25","145394","1.72","","0.85"
"Frankston Hospital","Vic","Large hospitals","2014–15","Total","","13","149733","0.87","","0.80"
"Frankston Hospital","Vic","Large hospitals","2015–16","Total","","14","162888","0.86","","0.68"
"Frankston Hospital","Vic","Large hospitals","2016–17","Total","","13","171303","0.76","","0.73"
"Frankston Hospital","Vic","Large hospitals","2017–18","Total","","18","178564","1.01","","0.67"
"Frankston Hospital","Vic","Large hospitals","2016–17","MRSA","","2","171303","0.12","","0.14"
"Frankston Hospital","Vic","Large hospitals","2017–18","MRSA","","1","178564","0.06","","0.10"
"Frankston Hospital","Vic","Large hospitals","2016–17","MSSA","","11","171303","0.64","","0.60"
"Frankston Hospital","Vic","Large hospitals","2017–18","MSSA","","17","178564","0.95","","0.56"
"Gippsland Southern Health Service - Korumburra","Vic","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Gippsland Southern Health Service - Korumburra","Vic","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Gippsland Southern Health Service - Korumburra","Vic","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Gippsland Southern Health Service - Korumburra","Vic","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Gippsland Southern Health Service - Korumburra","Vic","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Gippsland Southern Health Service - Korumburra","Vic","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Gippsland Southern Health Service - Korumburra","Vic","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Gippsland Southern Health Service - Korumburra","Vic","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Gippsland Southern Health Service - Korumburra","Vic","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Gippsland Southern Health Service - Korumburra","Vic","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Gippsland Southern Health Service - Korumburra","Vic","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Gippsland Southern Health Service - Korumburra","Vic","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Gippsland Southern Health Service - Leongatha","Vic","Unpeered","2010–11","Total","","0","7871","0","","Not peered"
"Gippsland Southern Health Service - Leongatha","Vic","Unpeered","2011–12","Total","","0","7357","0","","Not peered"
"Gippsland Southern Health Service - Leongatha","Vic","Unpeered","2012–13","Total","","0","7261","0","","Not peered"
"Gippsland Southern Health Service - Leongatha","Vic","Unpeered","2013–14","Total","","0","7347","0","","Not peered"
"Gippsland Southern Health Service - Leongatha","Vic","Unpeered","2014–15","Total","","0","6625","0","","Not peered"
"Gippsland Southern Health Service - Leongatha","Vic","Unpeered","2015–16","Total","","0","6704","0","","Not peered"
"Gippsland Southern Health Service - Leongatha","Vic","Unpeered","2016–17","Total","","1","6889","1.45","","Not peered"
"Gippsland Southern Health Service - Leongatha","Vic","Unpeered","2017–18","Total","","0","6569","0","","Not peered"
"Gippsland Southern Health Service - Leongatha","Vic","Unpeered","2016–17","MRSA","","0","6889","0","","Not peered"
"Gippsland Southern Health Service - Leongatha","Vic","Unpeered","2017–18","MRSA","","0","6569","0","","Not peered"
"Gippsland Southern Health Service - Leongatha","Vic","Unpeered","2016–17","MSSA","","1","6889","1.45","","Not peered"
"Gippsland Southern Health Service - Leongatha","Vic","Unpeered","2017–18","MSSA","","0","6569","0","","Not peered"
"Golf Links Road Rehabilitation Centre","Vic","Unpeered","2010–11","Total","","0","24832","0","","Not peered"
"Golf Links Road Rehabilitation Centre","Vic","Unpeered","2011–12","Total","","0","27002","0","","Not peered"
"Golf Links Road Rehabilitation Centre","Vic","Unpeered","2012–13","Total","","1","25832","0.39","","Not peered"
"Golf Links Road Rehabilitation Centre","Vic","Unpeered","2013–14","Total","","0","26277","0","","Not peered"
"Golf Links Road Rehabilitation Centre","Vic","Unpeered","2014–15","Total","","2","26912","0.74","","Not peered"
"Golf Links Road Rehabilitation Centre","Vic","Unpeered","2015–16","Total","","2","26827","0.75","","Not peered"
"Golf Links Road Rehabilitation Centre","Vic","Unpeered","2016–17","Total","","1","26967","0.37","","Not peered"
"Golf Links Road Rehabilitation Centre","Vic","Unpeered","2017–18","Total","","0","26581","0","","Not peered"
"Golf Links Road Rehabilitation Centre","Vic","Unpeered","2016–17","MRSA","","0","26967","0","","Not peered"
"Golf Links Road Rehabilitation Centre","Vic","Unpeered","2017–18","MRSA","","0","26581","0","","Not peered"
"Golf Links Road Rehabilitation Centre","Vic","Unpeered","2016–17","MSSA","","1","26967","0.37","","Not peered"
"Golf Links Road Rehabilitation Centre","Vic","Unpeered","2017–18","MSSA","","0","26581","0","","Not peered"
"Goulburn Valley Health [Shepparton]","Vic","Large hospitals","2010–11","Total","","11","73748","1.49","","1"
"Goulburn Valley Health [Shepparton]","Vic","Large hospitals","2011–12","Total","","16","75144","2.13","","0.93"
"Goulburn Valley Health [Shepparton]","Vic","Large hospitals","2012–13","Total","","5","72793","0.69","","0.97"
"Goulburn Valley Health [Shepparton]","Vic","Large hospitals","2013–14","Total","","5","73816","0.68","","0.85"
"Goulburn Valley Health [Shepparton]","Vic","Large hospitals","2014–15","Total","","3","75196","0.40","","0.80"
"Goulburn Valley Health [Shepparton]","Vic","Large hospitals","2015–16","Total","","4","81013","0.49","","0.68"
"Goulburn Valley Health [Shepparton]","Vic","Large hospitals","2016–17","Total","","9","82044","1.10","","0.73"
"Goulburn Valley Health [Shepparton]","Vic","Large hospitals","2017–18","Total","","8","85433","0.94","","0.67"
"Goulburn Valley Health [Shepparton]","Vic","Large hospitals","2016–17","MRSA","","2","82044","0.24","","0.14"
"Goulburn Valley Health [Shepparton]","Vic","Large hospitals","2017–18","MRSA","","1","85433","0.12","","0.10"
"Goulburn Valley Health [Shepparton]","Vic","Large hospitals","2016–17","MSSA","","7","82044","0.85","","0.60"
"Goulburn Valley Health [Shepparton]","Vic","Large hospitals","2017–18","MSSA","","7","85433","0.82","","0.56"
"Goulburn Valley Health [Tatura]","Vic","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Tatura]","Vic","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Tatura]","Vic","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Tatura]","Vic","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Tatura]","Vic","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Tatura]","Vic","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Tatura]","Vic","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Tatura]","Vic","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Tatura]","Vic","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Tatura]","Vic","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Tatura]","Vic","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Tatura]","Vic","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Waranga]","Vic","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Waranga]","Vic","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Waranga]","Vic","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Waranga]","Vic","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Waranga]","Vic","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Waranga]","Vic","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Waranga]","Vic","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Waranga]","Vic","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Waranga]","Vic","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Waranga]","Vic","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Waranga]","Vic","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Goulburn Valley Health [Waranga]","Vic","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Healesville Hospital and Yarra Valley Health","Vic","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Healesville Hospital and Yarra Valley Health","Vic","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Healesville Hospital and Yarra Valley Health","Vic","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Healesville Hospital and Yarra Valley Health","Vic","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Healesville Hospital and Yarra Valley Health","Vic","Unpeered","2014–15","Total","","1","5155","1.94","","Not peered"
"Healesville Hospital and Yarra Valley Health","Vic","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Healesville Hospital and Yarra Valley Health","Vic","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Healesville Hospital and Yarra Valley Health","Vic","Unpeered","2017–18","Total","","1","7016","1.43","","Not peered"
"Healesville Hospital and Yarra Valley Health","Vic","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Healesville Hospital and Yarra Valley Health","Vic","Unpeered","2017–18","MRSA","","0","7016","0","","Not peered"
"Healesville Hospital and Yarra Valley Health","Vic","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Healesville Hospital and Yarra Valley Health","Vic","Unpeered","2017–18","MSSA","","1","7016","1.43","","Not peered"
"Heathcote Health","Vic","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Heathcote Health","Vic","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Heathcote Health","Vic","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Heathcote Health","Vic","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Heathcote Health","Vic","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Heathcote Health","Vic","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Heathcote Health","Vic","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Heathcote Health","Vic","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Heathcote Health","Vic","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
"Heathcote Health","Vic","Unpeered","2017–18","MRSA","","0","<5,000","NP","","Not peered"
"Heathcote Health","Vic","Unpeered","2016–17","MSSA","","0","<5,000","NP","","Not peered"
"Heathcote Health","Vic","Unpeered","2017–18","MSSA","","0","<5,000","NP","","Not peered"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Unpeered","2010–11","Total","","1","73375","0.14","","Not peered"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Unpeered","2011–12","Total","","5","72940","0.69","","Not peered"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Unpeered","2012–13","Total","","1","71115","0.14","","Not peered"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Unpeered","2013–14","Total","","2","67113","0.30","","Not peered"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Unpeered","2014–15","Total","","2","64559","0.31","","Not peered"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Unpeered","2015–16","Total","","4","67875","0.59","","Not peered"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Unpeered","2016–17","Total","","4","68613","0.58","","Not peered"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Unpeered","2017–18","Total","","1","70270","0.14","","Not peered"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Unpeered","2016–17","MRSA","","0","68613","0","","Not peered"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Unpeered","2017–18","MRSA","","0","70270","0","","Not peered"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Unpeered","2016–17","MSSA","","4","68613","0.58","","Not peered"
"Heidelberg Repatriation Hospital [Heidelberg West]","Vic","Unpeered","2017–18","MSSA","","1","70270","0.14","","Not peered"
"Hesse Rural Health Service [Winchelsea]","Vic","Unpeered","2010–11","Total","","0","<5,000","NP","","Not peered"
"Hesse Rural Health Service [Winchelsea]","Vic","Unpeered","2011–12","Total","","0","<5,000","NP","","Not peered"
"Hesse Rural Health Service [Winchelsea]","Vic","Unpeered","2012–13","Total","","0","<5,000","NP","","Not peered"
"Hesse Rural Health Service [Winchelsea]","Vic","Unpeered","2013–14","Total","","0","<5,000","NP","","Not peered"
"Hesse Rural Health Service [Winchelsea]","Vic","Unpeered","2014–15","Total","","0","<5,000","NP","","Not peered"
"Hesse Rural Health Service [Winchelsea]","Vic","Unpeered","2015–16","Total","","0","<5,000","NP","","Not peered"
"Hesse Rural Health Service [Winchelsea]","Vic","Unpeered","2016–17","Total","","0","<5,000","NP","","Not peered"
"Hesse Rural Health Service [Winchelsea]","Vic","Unpeered","2017–18","Total","","0","<5,000","NP","","Not peered"
"Hesse Rural Health Service [Winchelsea]","Vic","Unpeered","2016–17","MRSA","","0","<5,000","NP","","Not peered"
